order_id,customer_id,order_date,channel,product,quantity,unit_price,discount_pct,net_sales
1001,C003,2026-01-04,retail,Keyboard,1,700.0,0.1,630.0
1002,C010,2026-01-24,partner,Laptop Stand,1,700.0,0.1,630.0
1003,C025,2026-01-06,retail,Monitor,4,1200.0,0.0,4800.0
1004,C024,2026-01-16,retail,Headset,4,700.0,0.0,2800.0
1005,C008,2026-01-16,partner,Laptop Stand,3,1600.0,0.0,4800.0
1006,C007,2026-01-02,retail,Monitor,2,450.0,0.0,900.0
1007,C020,2026-01-25,partner,Keyboard,5,1600.0,0.05,7600.0
1008,C002,2026-01-25,online,Mouse,2,2800.0,0.0,5600.0
1009,C005,2026-01-14,partner,Webcam,5,1200.0,0.0,6000.0
1010,C020,2026-01-04,online,Monitor,3,1200.0,0.0,3600.0
1011,C010,2026-01-07,retail,Mouse,3,2800.0,0.05,7980.0
1012,C009,2026-01-22,retail,Mouse,5,1600.0,0.0,8000.0
1013,C018,2026-01-18,partner,Webcam,4,700.0,0.05,2660.0
1014,C023,2026-01-05,partner,Keyboard,3,700.0,0.0,2100.0
1015,C013,2026-01-25,partner,Webcam,4,700.0,0.1,2520.0
1016,C011,2026-01-13,retail,Headset,1,2100.0,0.05,1995.0
1017,C017,2026-01-15,retail,Mouse,5,450.0,0.0,2250.0
1018,C009,2026-01-08,retail,Headset,1,2100.0,0.0,2100.0
1019,C004,2026-01-17,retail,Webcam,2,950.0,0.0,1900.0
1020,C005,2026-01-14,retail,Webcam,4,700.0,0.0,2800.0
1021,C012,2026-01-03,partner,Mouse,3,1200.0,0.1,3240.0
1022,C025,2026-01-09,partner,Mouse,3,1200.0,0.05,3420.0
1023,C024,2026-01-02,online,Laptop Stand,2,2100.0,0.0,4200.0
1024,C007,2026-01-13,partner,Headset,3,2800.0,0.1,7560.0
1025,C024,2026-01-09,partner,Keyboard,2,950.0,0.05,1805.0
1026,C007,2026-01-13,online,Monitor,4,700.0,0.05,2660.0
1027,C002,2026-01-16,online,Mouse,1,700.0,0.05,665.0
1028,C007,2026-01-21,partner,Keyboard,1,700.0,0.05,665.0
1029,C023,2026-01-10,retail,Laptop Stand,1,1200.0,0.1,1080.0
1030,C020,2026-01-25,online,Laptop Stand,3,1200.0,0.0,3600.0
1031,C030,2026-01-09,partner,Laptop Stand,4,950.0,0.0,3800.0
1032,C001,2026-01-22,retail,Laptop Stand,1,2100.0,0.0,2100.0
