order_id,customer_id,order_date,channel,product,quantity,unit_price,discount_pct,net_sales
1065,C009,2026-03-11,retail,Monitor,1,700.0,0.05,665.0
1066,C020,2026-03-25,partner,Laptop Stand,4,700.0,0.1,2520.0
1067,C008,2026-03-10,retail,Webcam,5,2100.0,0.05,9975.0
1068,C006,2026-03-22,retail,Monitor,3,950.0,0.0,2850.0
1069,C027,2026-03-23,retail,Headset,3,2100.0,0.1,5670.0
1070,C030,2026-03-12,online,Headset,4,1200.0,0.0,4800.0
1071,C004,2026-03-11,partner,Headset,4,450.0,0.05,1710.0
1072,C022,2026-03-17,partner,Webcam,2,1600.0,0.05,3040.0
1073,C019,2026-03-11,online,Laptop Stand,3,1600.0,0.05,4560.0
1074,C006,2026-03-06,online,Headset,4,1600.0,0.0,6400.0
1075,C015,2026-03-14,retail,Webcam,1,1600.0,0.1,1440.0
1076,C026,2026-03-18,partner,Monitor,5,950.0,0.0,4750.0
1077,C004,2026-03-01,online,Monitor,2,2800.0,0.05,5320.0
1078,C022,2026-03-14,retail,Laptop Stand,4,950.0,0.05,3610.0
1079,C020,2026-03-07,partner,Keyboard,1,700.0,0.05,665.0
1080,C003,2026-03-19,retail,Monitor,3,1200.0,0.0,3600.0
1081,C016,2026-03-20,online,Webcam,5,950.0,0.0,4750.0
1082,C005,2026-03-24,retail,Keyboard,1,700.0,0.1,630.0
1083,C002,2026-03-10,retail,Keyboard,3,2100.0,0.0,6300.0
1084,C024,2026-03-20,online,Laptop Stand,3,2800.0,0.0,8400.0
1085,C003,2026-03-01,partner,Laptop Stand,2,2100.0,0.0,4200.0
1086,C018,2026-03-03,partner,Webcam,4,1200.0,0.05,4560.0
1087,C018,2026-03-07,retail,Mouse,4,1200.0,0.05,4560.0
1088,C022,2026-03-12,online,Headset,5,2800.0,0.0,14000.0
1089,C013,2026-03-14,online,Keyboard,3,1200.0,0.1,3240.0
1090,C028,2026-03-12,retail,Webcam,2,1200.0,0.0,2400.0
1091,C022,2026-03-05,partner,Webcam,4,450.0,0.0,1800.0
1092,C022,2026-03-16,retail,Webcam,4,1200.0,0.0,4800.0
1093,C028,2026-03-13,online,Headset,3,1200.0,0.0,3600.0
1094,C029,2026-03-19,retail,Monitor,4,1200.0,0.05,4560.0
1095,C022,2026-03-04,partner,Webcam,4,2800.0,0.0,11200.0
1096,C006,2026-03-16,retail,Keyboard,3,2800.0,0.1,7560.0
