order_id,customer_id,order_date,channel,product,quantity,unit_price,discount_pct,net_sales
1033,C009,2026-02-07,retail,Webcam,2,700.0,0.0,1400.0
1034,C014,2026-02-17,online,Keyboard,2,2100.0,0.0,4200.0
1035,C015,2026-02-18,partner,Keyboard,3,1600.0,0.05,4560.0
1036,C030,2026-02-01,online,Laptop Stand,3,1200.0,0.05,3420.0
1037,C013,2026-02-03,partner,Headset,3,700.0,0.0,2100.0
1038,C029,2026-02-21,partner,Monitor,5,1200.0,0.05,5700.0
1039,C026,2026-02-10,retail,Headset,1,1200.0,0.05,1140.0
1040,C003,2026-02-10,online,Webcam,3,700.0,0.05,1995.0
1041,C030,2026-02-23,online,Mouse,5,2100.0,0.05,9975.0
1042,C016,2026-02-22,online,Mouse,3,950.0,0.05,2707.5
1043,C024,2026-02-24,retail,Keyboard,5,1200.0,0.05,5700.0
1044,C027,2026-02-21,online,Laptop Stand,4,700.0,0.0,2800.0
1045,C012,2026-02-16,partner,Webcam,5,450.0,0.0,2250.0
1046,C028,2026-02-24,partner,Monitor,4,2100.0,0.1,7560.0
1047,C021,2026-02-18,partner,Mouse,2,2100.0,0.0,4200.0
1048,C004,2026-02-22,partner,Keyboard,3,450.0,0.05,1282.5
1049,C005,2026-02-04,partner,Mouse,3,700.0,0.0,2100.0
1050,C006,2026-02-20,retail,Keyboard,5,450.0,0.05,2137.5
1051,C015,2026-02-06,retail,Mouse,3,2100.0,0.05,5985.0
1052,C015,2026-02-09,online,Headset,4,1200.0,0.0,4800.0
1053,C004,2026-02-17,partner,Headset,5,450.0,0.05,2137.5
1054,C005,2026-02-19,retail,Laptop Stand,2,450.0,0.0,900.0
1055,C028,2026-02-19,partner,Laptop Stand,1,700.0,0.0,700.0
1056,C012,2026-02-01,partner,Keyboard,2,450.0,0.1,810.0
1057,C015,2026-02-22,partner,Laptop Stand,3,1200.0,0.05,3420.0
1058,C004,2026-02-12,retail,Headset,1,2100.0,0.0,2100.0
1059,C006,2026-02-14,retail,Webcam,1,1200.0,0.1,1080.0
1060,C012,2026-02-04,online,Headset,5,2100.0,0.0,10500.0
1061,C009,2026-02-11,partner,Laptop Stand,1,1200.0,0.1,1080.0
1062,C025,2026-02-09,online,Keyboard,2,2800.0,0.1,5040.0
1063,C019,2026-02-12,partner,Laptop Stand,5,450.0,0.1,2025.0
1064,C002,2026-02-02,partner,Mouse,5,2100.0,0.05,9975.0
