lesson_id,kind,title,url,scope,after_watching_do,fallback,status
B05-L01,OFFICIAL_REFERENCE,What is Microsoft Fabric?,https://learn.microsoft.com/en-us/fabric/get-started/microsoft-fabric-overview,End-to-end SaaS analytics platform; workloads + OneLake,"Classify each Distribution requirement as storage, compute, network/connection or identity before choosing a product",Book four-box mental model,REVALIDATED_2026-09-10
B05-L01,OPTIONAL_VISUAL,John Savill - Microsoft Fabric Overview,https://www.youtube.com/watch?v=GbxVsi94DrE,02:49-09:44 (Fabric introduction + OneLake),"Close video; draw four separate boxes: storage / compute / network / identity, then place one example in each",Book + official Fabric overview,REACHABLE_CHAPTERS_2026-09-10
B05-L02,OFFICIAL_REFERENCE,What is OneLake?,https://learn.microsoft.com/en-us/fabric/onelake/onelake-overview,"OneLake hierarchy, shared storage and workload access",Map tenant -> workspace -> item -> data and explain what is storage vs item/engine,Book Fabric/OneLake map,REVALIDATED_2026-09-10
B05-L02,OFFICIAL_REFERENCE,Data storage options in Microsoft Fabric,https://learn.microsoft.com/en-us/fabric/fundamentals/store-data,Warehouse vs lakehouse fit and related store choices,Choose warehouse/lakehouse/reference/copy for four source/output types and defend one rejected option,Book decision matrix,REVALIDATED_2026-09-10
B05-L02,OPTIONAL_VISUAL,Guy in a Cube - What Microsoft Fabric Means for Guy in a Cube,https://www.youtube.com/watch?v=6QusOchmSXQ,"01:20-05:50 (workloads, OneLake, cross-cloud access/shortcuts)","Close video; write a 3-line map: workload -> storage -> consumer, without listing every Fabric feature",Book map + official docs,REACHABLE_CHAPTERS_2026-09-10
B05-L02,OPTIONAL_VISUAL,John Savill - Microsoft Fabric Overview,https://www.youtube.com/watch?v=GbxVsi94DrE,"43:28-50:18 and 1:00:43-1:13:12 (lakehouse, warehouse, comparison)",Write one case where lakehouse fits better and one where warehouse fits better; state why,Book decision matrix + current Microsoft storage guide,REACHABLE_CHAPTERS_2026-09-10
B05-L03,OFFICIAL_REFERENCE,Roles in workspaces in Microsoft Fabric,https://learn.microsoft.com/en-us/fabric/fundamentals/roles-workspaces,Workspace control permissions and role boundaries,"For DE, analyst and executive personas, choose minimum workspace role before adding data access",Book control-plane/data-plane model,REVALIDATED_2026-09-10
B05-L03,OFFICIAL_REFERENCE,How OneLake security controls data access,https://learn.microsoft.com/en-us/fabric/onelake/security/data-access-control-model,Data-plane access roles/scopes and interaction with workspace permissions,Separate “can manage item” from “can read data” in three examples,Book least-privilege matrix,REVALIDATED_2026-09-10
B05-L03,OFFICIAL_REFERENCE,Access on-premises data sources in Data Factory for Microsoft Fabric,https://learn.microsoft.com/en-us/fabric/data-factory/how-to-access-on-premises-data,Private/on-prem source connection and gateway boundary,Mark which Distribution sources need a private bridge/gateway and which do not,Book network-boundary diagram,REVALIDATED_2026-09-10
B05-L03,OPTIONAL_VISUAL,John Savill - Microsoft Fabric Overview,https://www.youtube.com/watch?v=GbxVsi94DrE,18:20-24:03 (workspaces),"After watching, distinguish workspace organization/role from actual source/data permission in your own words",Book + current workspace/security docs,REACHABLE_CHAPTERS_2026-09-10
B05-L04,OFFICIAL_REFERENCE,Use the monitoring hub to track Fabric activity,https://learn.microsoft.com/en-us/fabric/admin/monitoring-hub,"Run status, history, error details and operational monitoring","For each incident, write signal -> owner -> recovery -> post-recovery validation -> consumer freshness message",Book incident ladder,REVALIDATED_2026-09-10
B05-L04,OFFICIAL_REFERENCE,What is an on-premises data gateway?,https://learn.microsoft.com/en-us/data-integration/gateway/service-gateway-onprem,Gateway purpose and private-source connectivity dependency,Explain why a gateway outage can make a cloud report stale even when Fabric itself is healthy,Book failure-chain diagram,REVALIDATED_2026-09-10
B05-L05,OFFICIAL_REFERENCE,What is Microsoft Fabric?,https://learn.microsoft.com/en-us/fabric/get-started/microsoft-fabric-overview,"Shared platform responsibilities across ingestion, engineering and reporting",Write an analyst-to-engineer handoff with source/grain/freshness/security/acceptance/failure clauses,Book handoff contract,REVALIDATED_2026-09-10
B05-L05,OFFICIAL_REFERENCE,Lineage in Fabric,https://learn.microsoft.com/en-us/fabric/governance/lineage,Impact analysis and downstream dependency context,Add upstream/downstream impact and owner to the handoff; state what must be revalidated after a source change,Book handoff + impact checklist,REVALIDATED_2026-09-10
