relative_path,size_bytes,sha256
Assessment/Gate_A/B04_GATE_A_DATA_RC1.zip,4942,aeb5a0674a6944397a3a27debccdbc49be5caad2fed1a7865ce0a0dc3e144ce2
Assessment/Gate_A/B04_GATE_A_MARKETPLACE_SELLERS_RESPONSE_WORKBOOK_RC1.xlsx,17835,f48cc8b5513e56edd82dfe9e88f2164663f0b614f8d24799db96432d4dd5ea62
Assessment/RETEST_ONLY_DO_NOT_OPEN/B04_GATE_B_DATA_RC1.zip,7512,867cf76645177168bc1657909f9c8d4592cb36847646432b750ae73a42265264
Assessment/RETEST_ONLY_DO_NOT_OPEN/B04_GATE_B_INVENTORY_REPLENISHMENT_RESPONSE_WORKBOOK_RC1.xlsx,17910,0f3feb9025202ac93b22ae0f7ef49e79de16aedc4ca468e3214435f1d17437f8
Assessment/RETEST_ONLY_DO_NOT_OPEN/B04_GATE_C_CUSTOMER_SUCCESS_RENEWALS_RESPONSE_WORKBOOK_RC1.xlsx,17965,991997d8be5cd8815a2205e8bebb2c820473d5569221319758ec78dc72067ae7
Assessment/RETEST_ONLY_DO_NOT_OPEN/B04_GATE_C_DATA_RC1.zip,4810,999b869f007da558ce67d2360a791fe376b2e363daa18392cc1c279339c4328a
Assessment/Remediation/B04_TARGETED_REMEDIATION_CARDS_RC1.pdf,3977,208124ff2bdc169306f18c40f974a866846991e479a9c988fa8ff9b64a0800ee
Assessment/Reviews/B04_GATE_A_REVIEW_PROTECTED_RC1.pdf,3100,8a651fcb7f39fd2580a72c30e1b45051710d45fbeefa9a9a2f0dc62201fa143c
Assessment/Reviews/B04_GATE_B_REVIEW_PROTECTED_RC1.pdf,3106,bbef30c31d77385bce350248ea2e397f3c8afe8f2e318ed36cda466cb27646e7
Assessment/Reviews/B04_GATE_C_REVIEW_PROTECTED_RC1.pdf,3096,406190d4529b5db68dc561ed7947a1d4b6bb0744abe0ab639050f0657d760e29
B04_ARTIFACT_TOOL_WORKBOOK_QA_RC1.json,2602,9ce3c1039d2f8dd3d08fa010680d1e524554c4dc2450d0700e4cb5032c9f82e0
B04_CANONICAL_SPEC_RC1.json,2998,4e682e76be02259f0276b843ba636e86aa7698e096b96761165aed60ee2dcf4a
B04_CAREFLOW_MINILAB_DATA_RC1.zip,6471,ef5c36b95a9603e694eccc875fc62b15f5c93eaa8da693895910e20d63f7fa97
B04_CAREFLOW_MINI_LAB_REVIEW_PROTECTED_RC1.pdf,3076,c55ad303f68703ffe72996bb44dd6fb6ee673398f07c8dba3ef348ff3e7b70c8
B04_CAREFLOW_WAREHOUSE_MINI_LAB_RC1.xlsx,13534,4296bf3a06a3a762774e79f81f944548792b75c747ff2839c66c0cc035d8c5c9
B04_MODULE_QA_RC1.json,50144,90356b1944f16e81def1ddad79b9804690456f8b680940e93ae5cf6411a59d66
B04_MODULE_QA_REPORT_RC1.pdf,3943,82002c0d54b8a36c0a3b6b46392435aaae99718cea4bd0187fd774f7ff399a0c
B04_PRACTICE_DATA_RC1.zip,8919,02d9b1059cfee8129143617685152a5537cf9f1e6eed2ab1489333bb77ab519b
B04_PRACTICE_GATE_TRACEABILITY_RC1.csv,2065,807e053a9e9ee10340bc8eb6c7b0e2c2d934576c7ab784f43f29214dbe91625b
B04_RELEASE_RECORD_RC1.json,855,02584b05f5e52ac1f96242e53d5a8c5777a7d294bcec7e50cb46392cc1dfd622
B04_SOURCE_VIDEO_REGISTRY_RC1.csv,4350,620348494fbbc4d08c1cf292b1dbaa5319a2b502a0463b46c8ec4c03648cdca3
B04_START_HERE_RC1.pdf,3378,8535876e1eb62a13e3955a7ef0f8d546ca71ba5790baa5f5d81cad01a203ca27
B04_WAREHOUSING_DATA_QUALITY_FOUNDATIONS_LEARNER_BOOK_RC1.pdf,53742,c4739bb9e5f194bceef7088e2a049a96c34a509d7d332e8b4635a506bd0d303c
B04_WAREHOUSING_DATA_QUALITY_PRACTICE_RC1.xlsx,30389,e07f4261faf7984f812bfbdc29927599c41892d7b01e3a97a3ebcf96a3d8e1ab
B04_WAREHOUSING_DATA_QUALITY_PRACTICE_REVIEW_PROTECTED_RC1.pdf,18491,88edbc8b3768bc567c4875bc6c7108de2f50ccf43ac7cda27b05a33a94e8386d
MiniLab_Data/README.txt,335,a5d10985b52afffe466b9109870686578718b2a6fd0911583d4aa76837a2c220
MiniLab_Data/appointment_events.csv,11315,da4b30cebe92e56c5de7205bd56fad7941f18d0b0d4f625eb8f63c2f85c27a65
MiniLab_Data/appointments.csv,5955,ea15132c6d721344929a5c01f75222760633633781852caab1fb77c52a0f7b61
MiniLab_Data/clinics.csv,210,de99365e13866b4cdedde3954a04d1a7b0428d5fa83df31e259c21fb5a7c9175
MiniLab_Data/control_totals.json,435,6f0a94aeb4852aa048944196e699c40e75bf316ed8f469749545795094ba6ce4
MiniLab_Data/monthly_clinic_targets.csv,313,71bd8e6d91fb06168f9588b62c641af0a49da16f86d40d617f8fbe2e87adb9b7
MiniLab_Data/patients.csv,790,b88938063983ad099f6c9788b05e064a7a2ea1219cf54a4619279da7bfad3846
MiniLab_Data/payments.csv,3287,243247656890a7a283b7f8317fc4e5246e952bb5c6f0d254714537aa0fb1b752
MiniLab_Data/provider_profile_changes.csv,673,4d1224f82951ad3c1fab54ed52e0b156f91b38675bbc31f55eabbc30548db8a6
MiniLab_Data/provider_skills.csv,261,ffd8108bc278a56546812688c83a27c14606e59208257ff74c05e76fa25369af
MiniLab_Data/providers.csv,470,46f392f6fd76d741eaab344b263f4bb46dd65a978186eeb107ae818dfdb435fb
MiniLab_Data/source_contracts.json,692,1cf1b06e2fb85dcac719628b07c8493a6cb6a5fa0aa87dd1c76c14c098065dd3
Practice_Data/README.txt,501,42c05199dd1c6fd589747e3a6f729c28e347b8952a679d4c449a3c2dba12bf15
Practice_Data/control_totals.json,261,6d526e29764ca295bf1799ebc4aade044ecd18915a48bbea83320c1537b62123
Practice_Data/driver_profile_changes.csv,1224,a3c5a6e43086d77958c9c4b7e24cf8a5460ba391a81df0377dbac43d121a7a3c
Practice_Data/driver_tags.csv,410,2b9c1d71fead13a16522740d73fe875397a0e67686bac3c0ed6d64847aa35e47
Practice_Data/drivers.csv,685,9ce5b130d0fde626caf78bfe3c19e4c49fa26e006201d5d49e3c49f20fd8d239
Practice_Data/monthly_city_targets.csv,428,eb1458c01c470dce000c01f7d4387581065f5478f23b8ef11d49504b03d7862d
Practice_Data/payments.csv,2797,5f8234a2b1aacf90adb6b4c65156fee7aacff8aeb9ede24dd692d33dc7093815
Practice_Data/ride_events.csv,17570,a3344067f912f7b931c7324025512f20678da9eaaaed19d4bd0488780075c871
Practice_Data/riders.csv,1105,900ec13751d0febdcfd8db312e5e305ed24880623f66e28342bd3855590aaf0d
Practice_Data/rides.csv,7028,b8789bd738a3fb32de758486e856c55540b4ce4f6145e31ebf51ac9d430139dc
Practice_Data/source_contracts.json,842,024f467bbfdc2567f07d66499b76782b0cf7668a1d6778d66648f7930aa9d7f9
README_FIRST.txt,400,05944b58d273478c418cb86664b91d65c79fbb3683c9580f14c1361a2f6761af
