record_id,seller_id,event_date,quantity,refund_unit,control_value
5001,S001,2026-06-10,1,500.0,500.0
5002,S028,2026-06-09,2,80.0,160.0
5003,S017,2026-06-18,3,500.0,1500.0
5004,S013,2026-06-07,2,120.0,240.0
5005,S020,2026-06-30,4,200.0,800.0
5006,S012,2026-06-24,4,80.0,320.0
5007,S020,2026-07-15,2,350.0,700.0
5008,S014,2026-07-11,3,200.0,600.0
5009,S012,2026-06-07,3,500.0,1500.0
5010,S023,2026-07-09,5,120.0,600.0
5011,S015,2026-06-04,2,350.0,700.0
5012,S022,2026-07-09,3,120.0,360.0
5013,S023,2026-06-07,5,500.0,2500.0
5014,S002,2026-06-28,4,120.0,480.0
5015,S011,2026-06-12,3,500.0,1500.0
5016,S024,2026-06-16,3,80.0,240.0
5017,S012,2026-07-09,5,120.0,600.0
5018,S010,2026-07-09,5,120.0,600.0
5019,S019,2026-06-04,3,350.0,1050.0
5020,S018,2026-06-18,2,350.0,700.0
5021,S022,2026-06-21,5,200.0,1000.0
5022,S030,2026-06-30,5,350.0,1750.0
5023,S002,2026-07-13,2,500.0,1000.0
5024,S028,2026-07-14,1,350.0,350.0
5025,S022,2026-06-24,5,120.0,600.0
5026,S011,2026-07-12,4,500.0,2000.0
5027,S011,2026-06-11,2,350.0,700.0
5028,S014,2026-07-08,1,120.0,120.0
5029,S017,2026-06-25,4,80.0,320.0
5030,S024,2026-06-26,4,200.0,800.0
5031,S025,2026-06-19,2,500.0,1000.0
5032,S021,2026-06-19,4,120.0,480.0
5033,S019,2026-06-25,4,500.0,2000.0
5034,S023,2026-07-11,4,350.0,1400.0
5035,S017,2026-06-06,2,350.0,700.0
5036,S004,2026-06-22,4,500.0,2000.0
5037,S007,2026-06-27,1,350.0,350.0
5038,S016,2026-07-14,5,BAD,400.0
5039,S014,2026-07-16,5,350.0,1750.0
5040,S004,2026-06-24,2,120.0,240.0
