record_id,seller_id,event_date,quantity,refund_unit,control_value
5081,S012,2026-06-04,2,350.0,700.0
5082,S029,2026-06-19,2,200.0,400.0
5083,S018,2026-06-03,5,350.0,1750.0
5084,S029,2026-06-09,3,80.0,240.0
5085,S018,2026-07-15,5,80.0,400.0
5086,S024,2026-06-02,4,200.0,800.0
5087,S014,2026-06-23,1,200.0,200.0
5088,S016,2026-06-02,1,350.0,350.0
5089,S022,2026-06-24,2,120.0,240.0
5090,S005,2026-07-07,2,500.0,1000.0
5091,S018,2026-06-17,2,120.0,240.0
5092,S021,2026-07-09,1,500.0,500.0
5093,S008,2026-07-09,3,120.0,360.0
5094,S014,2026-06-20,4,500.0,2000.0
5095,S022,2026-06-24,2,200.0,400.0
5096,S014,2026-06-18,2,200.0,400.0
5097,S005,2026-07-01,5,80.0,400.0
5098,S011,2026-06-21,3,80.0,240.0
5099,S029,2026-06-04,1,120.0,120.0
5100,S007,2026-07-10,3,200.0,600.0
5101,S019,2026-07-16,2,200.0,400.0
5102,S011,2026-06-28,4,350.0,1400.0
5103,S013,2026-06-04,1,200.0,200.0
5104,S006,2026-06-04,5,350.0,1750.0
5105,S018,2026-06-20,1,500.0,500.0
5106,S002,2026-07-11,4,350.0,1400.0
5107,S027,2026-06-05,4,200.0,800.0
5108,S020,2026-06-06,3,200.0,600.0
5109,S019,2026-07-14,1,350.0,350.0
5110,S024,2026-06-28,5,200.0,1000.0
5111,S030,2026-06-19,3,80.0,240.0
5112,S028,2026-06-14,2,500.0,1000.0
5113,S022,2026-06-16,3,200.0,600.0
5114,S015,2026-06-01,2,80.0,160.0
5115,S009,2026-07-05,4,350.0,1400.0
5116,S005,2026-07-13,1,80.0,80.0
5117,S027,2026-06-20,3,120.0,360.0
5118,S022,2026-06-29,2,350.0,700.0
5119,S001,2026-06-01,4,120.0,480.0
5120,S030,2026-06-04,3,120.0,360.0
