record_id,carrier_id,event_date,quantity,unit_cost,control_value
5041,C010,2026-06-25,3,200.0,600.0
5042,C013,2026-06-18,5,80.0,400.0
5043,C021,2026-07-08,1,80.0,80.0
5044,C007,2026-06-18,5,120.0,600.0
5045,C003,2026-07-15,3,200.0,600.0
5046,C018,2026-06-19,1,350.0,350.0
5047,C016,2026-07-14,3,80.0,240.0
5048,C009,2026-06-29,5,200.0,1000.0
5049,C008,2026-07-04,4,120.0,480.0
5050,C018,2026-06-05,3,80.0,240.0
5051,C030,2026-07-06,1,200.0,200.0
5052,C007,2026-06-17,2,120.0,240.0
5053,C021,2026-07-11,5,500.0,2500.0
5054,C008,2026-06-14,1,120.0,120.0
5055,C015,2026-07-16,5,120.0,600.0
5056,C005,2026-06-14,1,200.0,200.0
5057,C015,2026-07-12,1,120.0,120.0
5058,C017,2026-06-30,2,80.0,160.0
5059,C026,2026-06-26,4,500.0,2000.0
5060,C030,2026-07-08,3,80.0,240.0
5061,C026,2026-06-24,3,200.0,600.0
5062,C030,2026-06-13,2,350.0,700.0
5063,C013,2026-06-18,1,80.0,80.0
5064,C009,2026-07-06,1,350.0,350.0
5065,C017,2026-07-04,1,200.0,200.0
5066,C007,2026-06-14,2,500.0,1000.0
5067,C028,2026-07-14,4,200.0,800.0
5068,C012,2026-07-12,4,500.0,2000.0
5069,C021,2026-06-10,1,500.0,500.0
5070,C018,2026-06-06,1,200.0,200.0
5071,C006,2026-06-16,2,120.0,240.0
5072,C012,2026-07-14,4,80.0,320.0
5073,C007,2026-06-15,3,200.0,600.0
5074,C008,2026-06-25,3,200.0,600.0
5075,C014,2026-06-18,5,120.0,600.0
5076,C020,2026-07-05,4,350.0,1400.0
5077,C004,2026-06-23,3,80.0,240.0
5078,C004,2026-07-09,5,500.0,2500.0
5079,C016,2026-07-16,2,80.0,160.0
5080,C026,2026-07-13,4,120.0,480.0
