record_id,carrier_id,event_date,quantity,unit_cost,control_value
5081,C008,2026-06-02,5,500.0,2500.0
5082,C015,2026-06-06,3,80.0,240.0
5083,C012,2026-06-06,2,200.0,400.0
5084,C019,2026-07-06,1,500.0,500.0
5085,C008,2026-07-03,4,200.0,800.0
5086,C020,2026-06-26,1,120.0,120.0
5087,C007,2026-07-06,1,200.0,200.0
5088,C008,2026-06-03,1,500.0,500.0
5089,C021,2026-06-14,5,500.0,2500.0
5090,C025,2026-06-30,4,350.0,1400.0
5091,C015,2026-06-20,3,500.0,1500.0
5092,C003,2026-07-03,4,200.0,800.0
5093,C008,2026-06-03,5,120.0,600.0
5094,C003,2026-06-01,1,80.0,80.0
5095,C028,2026-06-11,3,200.0,600.0
5096,C021,2026-06-20,2,80.0,160.0
5097,C012,2026-06-30,1,200.0,200.0
5098,C027,2026-06-26,5,80.0,400.0
5099,C011,2026-07-10,1,80.0,80.0
5100,C018,2026-07-09,4,350.0,1400.0
5101,C010,2026-07-10,5,80.0,400.0
5102,C001,2026-06-04,5,350.0,1750.0
5103,C025,2026-06-22,3,200.0,600.0
5104,C020,2026-06-11,4,350.0,1400.0
5105,C024,2026-07-09,2,350.0,700.0
5106,C004,2026-07-13,5,350.0,1750.0
5107,C016,2026-07-11,2,120.0,240.0
5108,C016,2026-07-08,4,120.0,480.0
5109,C021,2026-06-16,4,80.0,320.0
5110,C006,2026-06-18,2,80.0,160.0
5111,C002,2026-06-12,5,350.0,1750.0
5112,C014,2026-07-04,5,200.0,1000.0
5113,C018,2026-06-05,2,200.0,400.0
5114,C006,2026-07-03,5,80.0,400.0
5115,C009,2026-06-12,5,80.0,400.0
5116,C013,2026-07-10,5,120.0,600.0
5117,C017,2026-06-20,3,80.0,240.0
5118,C022,2026-06-01,1,500.0,500.0
5119,C022,2026-06-24,2,120.0,240.0
5120,C024,2026-06-25,3,120.0,360.0
